Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
226-31-3081,C,Port Harcourt,Normal,Female,Electronic accessories,5500.8,5,1375.2,28879.2,3/8/2019,10:29,Cash,27504.000000000004,4.7619047619999995,1375.2,9.6
699-14-3026,C,Port Harcourt,Normal,Male,Electronic accessories,30740.4,7,10759.140000000001,225941.94,3/25/2019,18:30,Epay,215182.80000000002,4.7619047619999995,10759.140000000001,4.1
315-22-5665,C,Port Harcourt,Normal,Female,Home and lifestyle,26481.600000000002,10,13240.800000000001,278056.8,2/24/2019,11:38,Epay,264816.0,4.7619047619999995,13240.800000000001,8.0
300-71-4605,C,Port Harcourt,Member,Male,Electronic accessories,30974.4,5,7743.6,162615.6,2/25/2019,11:24,Epay,154872.0,4.7619047619999995,7743.6,4.8
183-56-6882,C,Port Harcourt,Member,Female,Food and beverages,35791.2,4,7158.24,150323.04,2/6/2019,10:42,Epay,143164.8,4.7619047619999995,7158.24,7.5
232-16-2483,C,Port Harcourt,Member,Female,Sports and travel,24523.2,1,1226.16,25749.360000000004,1/7/2019,12:28,Epay,24523.2,4.7619047619999995,1226.16,6.8
333-73-7901,C,Port Harcourt,Normal,Female,Health and beauty,19771.2,8,7908.480000000001,166078.08000000002,3/23/2019,13:24,Epay,158169.6,4.7619047619999995,7908.480000000001,7.6
554-53-8700,C,Port Harcourt,Member,Male,Home and lifestyle,20199.6,2,2019.9600000000003,42419.16,2/2/2019,10:11,Cash,40399.2,4.7619047619999995,2019.9600000000003,6.3
228-96-1411,C,Port Harcourt,Member,Female,Food and beverages,35532.0,8,14212.8,298468.8,3/4/2019,20:39,Cash,284256.0,4.7619047619999995,14212.8,7.6
617-15-4209,C,Port Harcourt,Member,Male,Health and beauty,5533.2,2,553.3199999999999,11619.720000000001,3/16/2019,19:47,Cash,11066.4,4.7619047619999995,553.3199999999999,7.2
574-22-5561,C,Port Harcourt,Member,Female,Fashion accessories,29746.8,10,14873.4,312341.4,3/19/2019,17:08,Epay,297468.0,4.7619047619999995,14873.4,7.9
326-78-5178,C,Port Harcourt,Member,Male,Food and beverages,32904.0,7,11516.4,241844.4,2/3/2019,10:19,Cash,230327.99999999997,4.7619047619999995,11516.4,9.5
778-71-5554,C,Port Harcourt,Member,Male,Fashion accessories,5554.8,1,277.74,5832.54,1/25/2019,15:46,Card,5554.8,4.7619047619999995,277.74,6.1
399-46-5918,C,Port Harcourt,Normal,Female,Electronic accessories,30952.800000000003,8,12381.119999999999,260003.52,2/28/2019,19:01,Cash,247622.40000000002,4.7619047619999995,12381.119999999999,8.2
120-06-4233,C,Port Harcourt,Normal,Male,Electronic accessories,11019.6,6,3305.88,69423.48,3/12/2019,20:36,Cash,66117.6,4.7619047619999995,3305.88,9.3
285-68-5083,C,Port Harcourt,Member,Female,Sports and travel,8906.4,3,1335.96,28055.16,2/15/2019,17:47,Card,26719.2,4.7619047619999995,1335.96,10.0
803-83-5989,C,Port Harcourt,Normal,Male,Home and lifestyle,20062.8,6,6018.84,126395.64,2/24/2019,10:55,Epay,120376.8,4.7619047619999995,6018.84,7.0
838-78-4295,C,Port Harcourt,Normal,Female,Health and beauty,12049.199999999999,2,1204.92,25303.319999999996,2/10/2019,15:43,Epay,24098.399999999998,4.7619047619999995,1204.92,6.7
393-65-2792,C,Port Harcourt,Normal,Male,Food and beverages,32212.800000000003,10,16106.400000000001,338234.39999999997,1/6/2019,12:46,Card,322128.0,4.7619047619999995,16106.400000000001,9.6
796-12-2025,C,Port Harcourt,Normal,Male,Fashion accessories,22363.2,10,11181.6,234813.6,2/11/2019,16:19,Cash,223632.00000000003,4.7619047619999995,11181.6,5.9
841-35-6630,C,Port Harcourt,Normal,Female,Electronic accessories,27327.6,6,8198.28,172163.88,3/9/2019,18:21,Cash,163965.6,4.7619047619999995,8198.28,8.7
732-94-0499,C,Port Harcourt,Normal,Female,Electronic accessories,14994.0,10,7497.0,157437.0,1/13/2019,17:04,Card,149940.0,4.7619047619999995,7497.0,5.4
263-10-3913,C,Port Harcourt,Member,Male,Fashion accessories,17654.4,9,7944.4800000000005,166834.08000000002,1/9/2019,14:20,Card,158889.6,4.7619047619999995,7944.4800000000005,8.6
829-49-1914,C,Port Harcourt,Member,Female,Food and beverages,28191.600000000002,10,14095.800000000001,296011.8,3/5/2019,16:24,Epay,281916.0,4.7619047619999995,14095.800000000001,6.6
756-01-7507,C,Port Harcourt,Normal,Female,Health and beauty,7336.799999999999,5,1834.1999999999998,38518.200000000004,1/22/2019,18:56,Cash,36684.0,4.7619047619999995,1834.1999999999998,6.0
